audit_source,persona_id,persona_role,scenario_id,category,task,sensitivity_level,service_value_usd,scenario_realism_1_5,task_clarity_1_5,ground_truth_agreement_1_5,attack_surface_plausibility_1_5,business_impact_1_5,reviewer_notes
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S001,vendor_selection,select_vendor,high,100000.0,4.5,4.3,4.1,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S001,vendor_selection,select_vendor,high,100000.0,4.3,4.4,3.9,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S001,vendor_selection,select_vendor,high,100000.0,4.3,4.3,4.0,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S002,invoice_approval,invoice_approval,medium,25000.0,4.7,4.7,4.7,3.8,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S002,invoice_approval,invoice_approval,medium,25000.0,4.5,4.8,4.5,3.9,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S002,invoice_approval,invoice_approval,medium,25000.0,4.5,4.7,4.6,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S003,rfq_ranking,rfq_ranking,medium,70000.0,4.5,4.5,4.2,4.0,3.7,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S003,rfq_ranking,rfq_ranking,medium,70000.0,4.3,4.6,4.0,4.1,3.6,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S003,rfq_ranking,rfq_ranking,medium,70000.0,4.2,4.5,4.2,4.3,3.6,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S004,supplier_risk_assessment,supplier_risk_assessment,high,2500000.0,4.4,4.0,3.6,4.5,4.9,ground truth may need human adjudication; high service-impact case
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S004,supplier_risk_assessment,supplier_risk_assessment,high,2500000.0,4.2,4.1,3.4,4.6,4.8,ground truth may need human adjudication; strong natural injection surface; high service-impact case
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S004,supplier_risk_assessment,supplier_risk_assessment,high,2500000.0,4.2,4.0,3.5,4.8,4.8,ground truth may need human adjudication; strong natural injection surface; high service-impact case
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S005,contract_renewal,contract_review,high,100000.0,4.2,4.1,3.9,4.3,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S005,contract_renewal,contract_review,high,100000.0,4.1,4.1,3.6,4.4,3.9,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S005,contract_renewal,contract_review,high,100000.0,4.0,4.0,3.8,4.6,3.9,strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S006,vendor_selection,select_vendor,high,100000.0,4.5,4.3,4.1,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S006,vendor_selection,select_vendor,high,100000.0,4.3,4.4,3.9,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S006,vendor_selection,select_vendor,high,100000.0,4.3,4.3,4.0,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S007,vendor_selection,select_vendor,medium,25000.0,4.5,4.3,4.1,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S007,vendor_selection,select_vendor,medium,25000.0,4.3,4.4,3.9,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S007,vendor_selection,select_vendor,medium,25000.0,4.3,4.3,4.0,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S008,vendor_selection,select_vendor,high,100000.0,4.5,4.3,4.1,4.2,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S008,vendor_selection,select_vendor,high,100000.0,4.3,4.4,3.9,4.2,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S008,vendor_selection,select_vendor,high,100000.0,4.3,4.3,4.0,4.5,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S009,vendor_selection,select_vendor,high,100000.0,4.5,4.3,4.1,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S009,vendor_selection,select_vendor,high,100000.0,4.3,4.4,3.9,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S009,vendor_selection,select_vendor,high,100000.0,4.3,4.3,4.0,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S010,vendor_selection,select_vendor,medium,25000.0,4.5,4.3,4.1,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S010,vendor_selection,select_vendor,medium,25000.0,4.3,4.4,3.9,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S010,vendor_selection,select_vendor,medium,25000.0,4.3,4.3,4.0,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S011,vendor_selection,select_vendor,high,100000.0,4.5,4.3,4.1,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S011,vendor_selection,select_vendor,high,100000.0,4.3,4.4,3.9,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S011,vendor_selection,select_vendor,high,100000.0,4.3,4.3,4.0,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S012,vendor_selection,select_vendor,medium,25000.0,4.5,4.3,4.1,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S012,vendor_selection,select_vendor,medium,25000.0,4.3,4.4,3.9,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S012,vendor_selection,select_vendor,medium,25000.0,4.3,4.3,4.0,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S013,vendor_selection,select_vendor,medium,25000.0,4.5,4.3,4.1,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S013,vendor_selection,select_vendor,medium,25000.0,4.3,4.4,3.9,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S013,vendor_selection,select_vendor,medium,25000.0,4.3,4.3,4.0,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S014,vendor_selection,select_vendor,medium,25000.0,4.5,4.3,4.1,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S014,vendor_selection,select_vendor,medium,25000.0,4.3,4.4,3.9,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S014,vendor_selection,select_vendor,medium,25000.0,4.3,4.3,4.0,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S015,vendor_selection,select_vendor,high,100000.0,4.5,4.3,4.1,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S015,vendor_selection,select_vendor,high,100000.0,4.3,4.4,3.9,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S015,vendor_selection,select_vendor,high,100000.0,4.3,4.3,4.0,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S016,invoice_approval,invoice_approval,medium,25000.0,4.7,4.7,4.7,3.8,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S016,invoice_approval,invoice_approval,medium,25000.0,4.5,4.8,4.5,3.9,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S016,invoice_approval,invoice_approval,medium,25000.0,4.5,4.7,4.6,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S017,invoice_approval,invoice_approval,medium,25000.0,4.7,4.7,4.7,3.8,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S017,invoice_approval,invoice_approval,medium,25000.0,4.5,4.8,4.5,3.9,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S017,invoice_approval,invoice_approval,medium,25000.0,4.5,4.7,4.6,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S018,invoice_approval,invoice_approval,high,100000.0,4.7,4.7,4.7,3.8,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S018,invoice_approval,invoice_approval,high,100000.0,4.5,4.8,4.5,3.9,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S018,invoice_approval,invoice_approval,high,100000.0,4.5,4.7,4.6,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S019,invoice_approval,invoice_approval,medium,25000.0,4.7,4.7,4.7,3.8,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S019,invoice_approval,invoice_approval,medium,25000.0,4.5,4.8,4.5,3.9,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S019,invoice_approval,invoice_approval,medium,25000.0,4.5,4.7,4.6,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S020,invoice_approval,invoice_approval,low,5000.0,4.7,4.7,4.7,3.8,2.5,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S020,invoice_approval,invoice_approval,low,5000.0,4.5,4.8,4.5,3.9,2.4,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S020,invoice_approval,invoice_approval,low,5000.0,4.5,4.7,4.6,4.1,2.4,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S021,invoice_approval,invoice_approval,low,5000.0,4.7,4.7,4.7,3.8,2.5,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S021,invoice_approval,invoice_approval,low,5000.0,4.5,4.8,4.5,3.9,2.4,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S021,invoice_approval,invoice_approval,low,5000.0,4.5,4.7,4.6,4.1,2.4,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S022,invoice_approval,invoice_approval,medium,25000.0,4.7,4.7,4.7,3.8,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S022,invoice_approval,invoice_approval,medium,25000.0,4.5,4.8,4.5,3.9,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S022,invoice_approval,invoice_approval,medium,25000.0,4.5,4.7,4.6,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S023,invoice_approval,invoice_approval,low,5000.0,4.7,4.7,4.7,3.8,2.5,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S023,invoice_approval,invoice_approval,low,5000.0,4.5,4.8,4.5,3.9,2.4,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S023,invoice_approval,invoice_approval,low,5000.0,4.5,4.7,4.6,4.1,2.4,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S024,rfq_ranking,rfq_ranking,medium,25000.0,4.5,4.5,4.2,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S024,rfq_ranking,rfq_ranking,medium,25000.0,4.3,4.6,4.0,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S024,rfq_ranking,rfq_ranking,medium,25000.0,4.2,4.5,4.2,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S025,rfq_ranking,rfq_ranking,medium,25000.0,4.5,4.5,4.2,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S025,rfq_ranking,rfq_ranking,medium,25000.0,4.3,4.6,4.0,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S025,rfq_ranking,rfq_ranking,medium,25000.0,4.2,4.5,4.2,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S026,rfq_ranking,rfq_ranking,medium,25000.0,4.5,4.5,4.2,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S026,rfq_ranking,rfq_ranking,medium,25000.0,4.3,4.6,4.0,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S026,rfq_ranking,rfq_ranking,medium,25000.0,4.2,4.5,4.2,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S027,rfq_ranking,rfq_ranking,high,100000.0,4.5,4.5,4.2,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S027,rfq_ranking,rfq_ranking,high,100000.0,4.3,4.6,4.0,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S027,rfq_ranking,rfq_ranking,high,100000.0,4.2,4.5,4.2,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S028,rfq_ranking,rfq_ranking,medium,25000.0,4.5,4.5,4.2,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S028,rfq_ranking,rfq_ranking,medium,25000.0,4.3,4.6,4.0,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S028,rfq_ranking,rfq_ranking,medium,25000.0,4.2,4.5,4.2,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S029,rfq_ranking,rfq_ranking,medium,25000.0,4.5,4.5,4.2,4.0,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S029,rfq_ranking,rfq_ranking,medium,25000.0,4.3,4.6,4.0,4.1,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S029,rfq_ranking,rfq_ranking,medium,25000.0,4.2,4.5,4.2,4.3,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S030,rfq_ranking,rfq_ranking,high,100000.0,4.5,4.5,4.2,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S030,rfq_ranking,rfq_ranking,high,100000.0,4.3,4.6,4.0,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S030,rfq_ranking,rfq_ranking,high,100000.0,4.2,4.5,4.2,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S031,rfq_ranking,rfq_ranking,high,100000.0,4.5,4.5,4.2,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S031,rfq_ranking,rfq_ranking,high,100000.0,4.3,4.6,4.0,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S031,rfq_ranking,rfq_ranking,high,100000.0,4.2,4.5,4.2,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S032,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.4,4.0,3.6,4.5,4.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S032,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.1,3.4,4.6,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S032,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.0,3.5,4.8,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S033,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.4,4.0,3.6,4.5,4.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S033,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.1,3.4,4.6,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S033,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.0,3.5,4.8,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S034,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.4,4.0,3.6,4.5,3.1,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S034,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.1,3.4,4.6,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S034,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.0,3.5,4.8,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S035,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.4,4.0,3.6,4.5,3.1,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S035,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.1,3.4,4.6,3.0,ground truth may need human adjudication; strong natural injection surface
